genres,genres,,,,,,,,,,,,,,,,,,
Action|Comedy|Sci-Fi|Western,Action,Comedy,Sci-Fi,Western,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Horror|Thriller,Action,Adventure,Fantasy,Horror,Thriller,,,,,,,,,,,,,,
Action|Adventure|Comedy|Sci-Fi,Action,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,
Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Drama|Family|Fantasy,Adventure,Animation,Comedy,Drama,Family,Fantasy,,,,,,,,,,,,,
Adventure|Drama|Family|Fantasy,Adventure,Drama,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy|Romance,Action,Adventure,Family,Fantasy,Romance,,,,,,,,,,,,,,
Action|Adventure|Drama|Sci-Fi,Action,Adventure,Drama,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Romance|Sci-Fi,Action,Adventure,Romance,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Adventure|Family|Mystery|Sci-Fi,Action,Adventure,Family,Mystery,Sci-Fi,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Drama,Family,Sci-Fi,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Sci-Fi,Adventure,Animation,Comedy,Family,Sci-Fi,,,,,,,,,,,,,,
Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Drama|Sci-Fi,Adventure,Drama,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Drama|Horror|Sci-Fi,Action,Adventure,Drama,Horror,Sci-Fi,,,,,,,,,,,,,,
Adventure|Fantasy,Adventure,Fantasy,,,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Drama|Fantasy|Romance,Drama,Fantasy,Romance,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Sci-Fi,Adventure,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Drama|Thriller,Action,Adventure,Drama,Thriller,,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Drama|History|Romance|War,Action,Drama,History,Romance,War,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Biography|Drama|History|Romance|War,Action,Adventure,Biography,Drama,History,Romance,War,,,,,,,,,,,,
Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,,,,,,,,,,,
Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,,,,,,,,,,,
Action|Drama,Action,Drama,,,,,,,,,,,,,,,,,
Drama|Horror|Sci-Fi,Drama,Horror,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Animation|Comedy|Family|Fantasy,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure,Action,Adventure,,,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family,Action,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy|Musical,Adventure,Animation,Comedy,Family,Fantasy,Musical,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Mystery|Thriller,Mystery,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Drama|Family,Adventure,Animation,Comedy,Drama,Family,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Action,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Comedy|Fantasy|Horror,Comedy,Fantasy,Horror,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Drama|Fantasy|Horror|Thriller,Drama,Fantasy,Horror,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Drama|Romance,Action,Adventure,Drama,Romance,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family,Action,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,
Action|Adventure|Family|Fantasy,Action,Adventure,Family,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Drama|Thriller,Action,Drama,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family|Sci-Fi,Action,Adventure,Animation,Comedy,Family,Sci-Fi,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Sci-Fi,Adventure,Animation,Comedy,Family,Sci-Fi,,,,,,,,,,,,,,
Adventure,Adventure,,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Fantasy|Sci-Fi,Action,Comedy,Fantasy,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Action,Adventure,Comedy,Family,Fantasy,Mystery,Sci-Fi,,,,,,,,,,,,
Action|Adventure|Animation|Fantasy,Action,Adventure,Animation,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family,Action,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Adventure|Animation|Family|Fantasy,Adventure,Animation,Family,Fantasy,,,,,,,,,,,,,,,
Comedy|Crime,Comedy,Crime,,,,,,,,,,,,,,,,,
Action|Drama|History|War,Action,Drama,History,War,,,,,,,,,,,,,,,
Action|Adventure|Drama,Action,Adventure,Drama,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Romance,Action,Adventure,Fantasy,Romance,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family|Fantasy,Action,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Drama|Mystery|Sci-Fi,Action,Drama,Mystery,Sci-Fi,,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Thriller,Action,Adventure,Comedy,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Action,Adventure,Animation,Fantasy,Romance,Sci-Fi,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|History|War,Action,Adventure,Drama,History,War,,,,,,,,,,,,,,
Adventure|Drama|Fantasy|Romance,Adventure,Drama,Fantasy,Romance,,,,,,,,,,,,,,,
Animation|Comedy|Family|Musical,Animation,Comedy,Family,Musical,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Crime|Drama|Mystery|Thriller,Action,Crime,Drama,Mystery,Thriller,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Adventure|Drama|Thriller|Western,Adventure,Drama,Thriller,Western,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Sport,Adventure,Animation,Comedy,Family,Sport,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Western,Adventure,Animation,Comedy,Family,Western,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,,
Action|Mystery|Thriller,Action,Mystery,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family,Action,Adventure,Animation,Comedy,Family,,,,,,,,,,,,,,
Action|Adventure|Comedy|Sci-Fi,Action,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,
Adventure|Sci-Fi|Thriller,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Adventure|Drama|Fantasy|Romance,Adventure,Drama,Fantasy,Romance,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi,,,,,,,,,,,,,
Adventure|Sci-Fi|Thriller,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Thriller,Action,Comedy,Crime,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Animation|Comedy|Family|Fantasy,Action,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,
Action|Crime|Mystery|Thriller,Action,Crime,Mystery,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Drama,Action,Adventure,Drama,,,,,,,,,,,,,,,,
Action|Adventure|Family|Mystery,Action,Adventure,Family,Mystery,,,,,,,,,,,,,,,
Adventure|Family|Fantasy|Mystery,Adventure,Family,Fantasy,Mystery,,,,,,,,,,,,,,,
Adventure|Drama|Romance|War,Adventure,Drama,Romance,War,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Animation|Family|Thriller,Adventure,Animation,Family,Thriller,,,,,,,,,,,,,,,
Action|Fantasy,Action,Fantasy,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Animation|Comedy|Family|Sci-Fi,Action,Animation,Comedy,Family,Sci-Fi,,,,,,,,,,,,,,
Adventure|Family|Fantasy,Adventure,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Comedy|Fantasy,Action,Comedy,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Horror|Sci-Fi,Action,Adventure,Drama,Horror,Sci-Fi,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Fantasy,Fantasy,,,,,,,,,,,,,,,,,,
Adventure|Sci-Fi|Thriller,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Mystery|Thriller,Mystery,Thriller,,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Musical,Adventure,Animation,Comedy,Family,Musical,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi|Thriller,Action,Adventure,Fantasy,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Crime|Thriller,Action,Crime,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Crime|Mystery|Thriller,Action,Adventure,Crime,Mystery,Thriller,,,,,,,,,,,,,,
Action|Adventure|Fantasy,Action,Adventure,Fantasy,,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|History,Action,Adventure,History,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action,Action,,,,,,,,,,,,,,,,,,
Comedy|Family|Fantasy,Comedy,Family,Fantasy,,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Thriller,Action,Adventure,Drama,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Adventure|Drama|Fantasy,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,,
Action|Fantasy|Thriller,Action,Fantasy,Thriller,,,,,,,,,,,,,,,,
Action|Thriller,Action,Thriller,,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Crime,Action,Adventure,Comedy,Crime,,,,,,,,,,,,,,,
Adventure|Mystery|Sci-Fi,Adventure,Mystery,Sci-Fi,,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Drama|Sci-Fi|Thriller,Action,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Crime|Sci-Fi|Thriller,Action,Crime,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Family|Sport,Action,Family,Sport,,,,,,,,,,,,,,,,
Comedy|Drama|Romance,Comedy,Drama,Romance,,,,,,,,,,,,,,,,
Action|Comedy|Romance,Action,Comedy,Romance,,,,,,,,,,,,,,,,
Action|Adventure|Mystery|Sci-Fi,Action,Adventure,Mystery,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi|Thriller,Action,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Fantasy|Sci-Fi,Action,Adventure,Fantasy,Sci-Fi,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Drama|War,Action,Drama,War,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Sci-Fi,Action,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,
Adventure|Drama|Sci-Fi|Thriller,Adventure,Drama,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Sci-Fi,Action,Adventure,Comedy,Sci-Fi,,,,,,,,,,,,,,,
Action|Adventure|Sci-Fi,Action,Adventure,Sci-Fi,,,,,,,,,,,,,,,,
Action|Adventure|Comedy|Family|Fantasy,Action,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Adventure|Drama|Thriller,Action,Adventure,Drama,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Drama|History|War,Action,Drama,History,War,,,,,,,,,,,,,,,
Crime|Thriller,Crime,Thriller,,,,,,,,,,,,,,,,,
Action|Comedy|Crime|Romance|Thriller,Action,Comedy,Crime,Romance,Thriller,,,,,,,,,,,,,,
Adventure|Sci-Fi|Thriller,Adventure,Sci-Fi,Thriller,,,,,,,,,,,,,,,,
Biography|Drama,Biography,Drama,,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Comedy|Crime|Sci-Fi|Thriller,Action,Comedy,Crime,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Adventure|Crime,Action,Adventure,Crime,,,,,,,,,,,,,,,,
Action|Drama|Fantasy|War,Action,Drama,Fantasy,War,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Animation|Comedy|Family|Music|Western,Animation,Comedy,Family,Music,Western,,,,,,,,,,,,,,
Action|Adventure|Mystery|Sci-Fi|Thriller,Action,Adventure,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,
Action|Drama|Sci-Fi|Sport,Action,Drama,Sci-Fi,Sport,,,,,,,,,,,,,,,
Adventure|Animation|Comedy|Family|Fantasy,Adventure,Animation,Comedy,Family,Fantasy,,,,,,,,,,,,,,
Action|Crime|Romance|Thriller,Action,Crime,Romance,Thriller,,,,,,,,,,,,,,,
Action|Sci-Fi,Action,Sci-Fi,,,,,,,,,,,,,,,,,
Action|Adventure|Thriller,Action,Adventure,Thriller,,,,,,,,,,,,,,,,
Action|Adventure|Drama|Fantasy,Action,Adventure,Drama,Fantasy,,,,,,,,,,,,,,,
Action|Adventure|Comedy,Action,Adventure,Comedy,,,,,,,,,,,,,,,,
Biography|Drama|Sport,Biography,Drama,Sport,,,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Action|Mystery|Sci-Fi|Thriller,Action,Mystery,Sci-Fi,Thriller,,,,,,,,,,,,,,,
Action|Adventure|Drama|History|War,Action,Adventure,Drama,History,War,,,,,,,,,,,,,,
Adventure|Comedy|Family|Fantasy,Adventure,Comedy,Family,Fantasy,,,,,,,,,,,,,,,
Animation|Family|Fantasy|Musical|Romance,Animation,Family,Fantasy,Musical,Romance,,,,,,,,,,,,,,
